TrialType,Delta,StartTime,EndTime,Success
5,0,1737026511233,1737026751838,1
1,0,1737026944810,1737026948618,1
1,0,1737026948619,1737026950796,1
1,0,1737026950796,1737026952307,1
1,0,1737026952307,1737026953461,1
1,0,1737026953462,1737026954929,1
1,0,1737026954929,1737026956118,1
1,0,1737026956118,1737026957906,1
1,0,1737026957906,1737026959062,1
1,0,1737026959062,1737026960337,1
1,0,1737026960337,1737026961394,1
1,0,1737026961395,1737026962482,1
1,0,1737026962482,1737026964028,1
1,0,1737026964028,1737026965315,1
1,0,1737026965316,1737026967616,1
1,0,1737026967616,1737026969182,1
1,0,1737026969183,1737026970840,1
1,0,1737026970840,1737026972526,1
1,0,1737026972526,1737026974126,1
1,0,1737026974126,1737026976559,1
1,0,1737026976559,1737026977836,1
1,0,1737026977836,1737026979360,1
1,0,1737026979360,1737026981073,1
1,0,1737026981073,1737026982415,1
1,0,1737026982415,1737026984416,1
1,0,1737026984417,1737026985784,1
1,0,1737026985784,1737026987181,1
1,0,1737026987181,1737026989505,1
1,0,1737026989505,1737026991448,1
1,0,1737026991448,1737026993238,1
1,0,1737026993239,1737026994326,1
1,0,1737026994326,1737026995925,1
1,0,1737026995926,1737026997470,1
1,0,1737026997470,1737026998982,1
1,0,1737026998982,1737027000592,1
1,0,1737027000592,1737027001982,1
1,0,1737027001982,1737027003269,1
1,0,1737027003269,1737027004838,1
1,0,1737027004838,1737027006049,1
1,0,1737027006049,1737027006948,1
1,0,1737027006948,1737027007726,1
1,0,1737027007726,1737027008604,1
1,0,1737027008605,1737027009761,1
1,0,1737027009761,1737027010228,1
1,0,1737027010228,1737027011694,1
1,0,1737027011694,1737027012659,1
1,0,1737027012660,1737027013859,1
1,0,1737027013859,1737027015404,1
1,0,1737027015404,1737027016971,1
1,0,1737027016971,1737027018348,1
1,0,1737027018349,1737027019457,1
1,0,1737027019458,1737027020804,1
1,0,1737027020804,1737027022024,1
1,0,1737027022025,1737027023148,1
1,0,1737027023148,1737027024592,1
1,0,1737027024593,1737027025692,1
1,0,1737027025692,1737027026504,1
1,0,1737027026504,1737027027670,1
1,0,1737027027670,1737027028759,1
1,0,1737027028759,1737027029948,1
1,0,1737027029948,1737027030959,1
1,0,1737027030959,1737027031825,1
1,0,1737027031825,1737027032636,1
1,0,1737027032636,1737027033782,1
1,0,1737027033782,1737027035026,1
1,0,1737027035026,1737027036268,1
1,0,1737027036268,1737027037780,1
1,0,1737027037781,1737027038859,1
1,0,1737027038859,1737027039969,1
1,0,1737027039969,1737027041681,1
1,0,1737027041681,1737027043369,1
1,0,1737027043369,1737027045192,1
1,0,1737027045192,1737027046191,1
1,0,1737027046191,1737027047458,1
1,0,1737027047458,1737027048625,1
1,0,1737027048625,1737027049791,1
1,0,1737027049791,1737027051524,1
1,0,1737027051524,1737027052958,1
1,0,1737027052958,1737027054080,1
1,0,1737027054081,1737027055813,1
1,0,1737027055813,1737027057213,1
1,0,1737027057213,1737027058369,1
1,0,1737027058369,1737027059680,1
1,0,1737027059680,1737027061013,1
1,0,1737027061013,1737027062313,1
1,0,1737027062314,1737027063502,1
1,0,1737027063503,1737027064669,1
1,0,1737027064669,1737027065458,1
1,0,1737027065458,1737027067036,1
1,0,1737027067036,1737027068336,1
1,0,1737027068336,1737027069490,1
1,0,1737027069490,1737027070879,1
1,0,1737027070879,1737027072009,1
1,0,1737027072010,1737027072833,1
1,0,1737027072834,1737027074145,1
1,0,1737027074145,1737027075013,1
1,0,1737027075013,1737027076166,1
1,0,1737027076167,1737027077266,1
1,0,1737027077266,1737027078299,1
1,0,1737027078299,1737027079790,1
1,0,1737027079790,1737027080989,1
1,0,1737027080990,1737027082877,1
